,id,name,total_items_in_this_category,mother_id,mother_name
378,MLA1898,Otros Servicios,3150,MLA1540,Servicios
379,MLA24673,Cotillón,25499,MLA9304,"Souvenirs, Cotillón y Fiestas"
380,MLA403648,Decoración para Fiestas,57149,MLA9304,"Souvenirs, Cotillón y Fiestas"
381,MLA413646,Descartables para Fiestas,6354,MLA9304,"Souvenirs, Cotillón y Fiestas"
382,MLA24790,Disfraces,27290,MLA9304,"Souvenirs, Cotillón y Fiestas"
383,MLA435284,"Espuma, Serpentina y Confeti",940,MLA9304,"Souvenirs, Cotillón y Fiestas"
384,MLA412184,Invitaciones y Tarjetas,4941,MLA9304,"Souvenirs, Cotillón y Fiestas"
385,MLA100778,Kits Imprimibles para Fiestas,46322,MLA9304,"Souvenirs, Cotillón y Fiestas"
386,MLA412009,Props para Photo Booths,339,MLA9304,"Souvenirs, Cotillón y Fiestas"
387,MLA10056,Souvenirs,102492,MLA9304,"Souvenirs, Cotillón y Fiestas"
388,MLA24693,Otros,5011,MLA9304,"Souvenirs, Cotillón y Fiestas"
389,MLA2818,Adultos,45082,MLA1953,Otras categorías
390,MLA2335,Artículos para Fumadores,24573,MLA1953,Otras categorías
391,MLA406028,Coberturas Extendidas,390,MLA1953,Otras categorías
392,MLA417785,Criptomonedas,462,MLA1953,Otras categorías
393,MLA1740,Esoterismo,28139,MLA1953,Otras categorías
394,MLA401316,Gift Cards,1204,MLA1953,Otras categorías
395,MLA432903,Hornos Crematorios,6,MLA1953,Otras categorías
396,MLA73672,Insumos para Tatuajes,4345,MLA1953,Otras categorías
397,MLA433536,Kits de Criminalística,45,MLA1953,Otras categorías
398,MLA433022,Licencias para Taxis,48,MLA1953,Otras categorías
399,MLA413190,Mangas de Viento,93,MLA1953,Otras categorías
400,MLA421364,Pirotecnia,1183,MLA1953,Otras categorías
401,MLA3530,Otros,169853,MLA1953,Otras categorías
